축제명,연령대,남성비율,여성비율
화성뱃놀이축제,70세 이상,3.5,2.9
화성뱃놀이축제,60~69세,11.2,8.1
화성뱃놀이축제,50~59세,12.1,9.0
화성뱃놀이축제,40~49세,11.2,7.3
화성뱃놀이축제,30~39세,10.7,7.7
화성뱃놀이축제,20~29세,7.1,4.2
화성뱃놀이축제,10~19세,1.6,1.5
화성뱃놀이축제,0~9세,0.8,0.9
