축제명,연령대,남성비율,여성비율
탐라문화제,70세 이상,3.4,4.3
탐라문화제,60~69세,8.9,8.9
탐라문화제,50~59세,10.1,10.3
탐라문화제,40~49세,8.3,8.0
탐라문화제,30~39세,8.6,8.2
탐라문화제,20~29세,6.9,7.9
탐라문화제,10~19세,2.5,2.6
탐라문화제,0~9세,0.5,0.6
