축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
탐라문화제,2023,5,74290.0,45637.0,5148.0,125075.0,25015.0,,,N/A,125075.0,59.4,36.49,4.12,0.0
탐라문화제,2024,5,110482.0,44999.0,10569.0,166050.0,33210.0,25015.0,32.8,125075,40975.0,66.54,27.1,6.36,32.76
탐라문화제,2025,5,76647.0,44817.0,11781.0,133245.0,26649.0,33210.0,-19.8,166050,-32805.0,57.52,33.64,8.84,-19.76
