축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
하동야생차문화축제,2023,31,53789.0,100273.0,277.0,154339.0,4978.6774,,,N/A,154339.0,34.85,64.97,0.18,0.0
하동야생차문화축제,2024,5,13771.0,38123.0,115.0,52009.0,10401.8,4978.6774,108.9,154339,-102330.0,26.48,73.3,0.22,-66.3
하동야생차문화축제,2025,4,10977.0,63697.0,156.0,74830.0,18707.5,10401.8,79.8,52009,22821.0,14.67,85.12,0.21,43.88
