축제명,연령대,남성비율,여성비율
청송사과축제,70세 이상,6.6,6.4
청송사과축제,60~69세,14.6,14.9
청송사과축제,50~59세,11.7,13.5
청송사과축제,40~49세,6.4,6.3
청송사과축제,30~39세,4.8,4.0
청송사과축제,20~29세,3.1,2.9
청송사과축제,10~19세,2.0,1.9
청송사과축제,0~9세,0.5,0.5
