축제명,연령대,남성비율,여성비율
춘천마임축제,70세 이상,4.3,4.2
춘천마임축제,60~69세,9.7,8.0
춘천마임축제,50~59세,9.5,9.0
춘천마임축제,40~49세,7.9,7.3
춘천마임축제,30~39세,9.2,8.3
춘천마임축제,20~29세,7.9,7.5
춘천마임축제,10~19세,2.9,2.8
춘천마임축제,0~9세,0.7,0.7
