축제명,연령대,남성비율,여성비율
양양송이축제,70세 이상,5.2,4.5
양양송이축제,60~69세,11.3,9.6
양양송이축제,50~59세,13.4,11.0
양양송이축제,40~49세,9.2,7.7
양양송이축제,30~39세,6.0,5.2
양양송이축제,20~29세,4.9,4.3
양양송이축제,10~19세,3.2,3.4
양양송이축제,0~9세,0.6,0.6
