축제명,연령대,남성비율,여성비율
연천구석기축제,70세 이상,3.8,3.4
연천구석기축제,60~69세,9.4,8.2
연천구석기축제,50~59세,9.8,9.1
연천구석기축제,40~49세,9.2,7.8
연천구석기축제,30~39세,7.7,7.2
연천구석기축제,20~29세,9.4,5.6
연천구석기축제,10~19세,3.8,3.5
연천구석기축제,0~9세,1.0,1.1
