축제명,연령대,남성비율,여성비율
논산딸기축제,70세 이상,4.4,4.3
논산딸기축제,60~69세,9.8,8.7
논산딸기축제,50~59세,11.3,10.3
논산딸기축제,40~49세,8.4,7.2
논산딸기축제,30~39세,6.8,6.8
논산딸기축제,20~29세,5.4,5.8
논산딸기축제,10~19세,5.8,3.6
논산딸기축제,0~9세,0.8,0.7
