축제명,연령대,남성비율,여성비율
군산시간여행축제,70세 이상,4.7,4.5
군산시간여행축제,60~69세,9.2,8.3
군산시간여행축제,50~59세,9.3,10.3
군산시간여행축제,40~49세,8.2,8.6
군산시간여행축제,30~39세,6.6,6.8
군산시간여행축제,20~29세,7.3,7.2
군산시간여행축제,10~19세,3.7,4.1
군산시간여행축제,0~9세,0.5,0.7
