축제명,연령대,남성비율,여성비율
장수한우랑사과랑축제,70세 이상,5.6,5.0
장수한우랑사과랑축제,60~69세,12.0,9.9
장수한우랑사과랑축제,50~59세,11.6,10.6
장수한우랑사과랑축제,40~49세,8.2,6.6
장수한우랑사과랑축제,30~39세,6.3,6.3
장수한우랑사과랑축제,20~29세,4.8,4.3
장수한우랑사과랑축제,10~19세,3.8,3.5
장수한우랑사과랑축제,0~9세,0.7,0.8
