축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
장수한우랑사과랑축제,2024,4,31534.0,41452.0,172.0,73158.0,18289.5,,,N/A,73158.0,43.1,56.66,0.24,0.0
장수한우랑사과랑축제,2025,4,32697.0,45442.0,112.0,78251.0,19562.75,18289.5,7.0,73158,5093.0,41.78,58.07,0.14,6.96
