축제명,연령대,남성비율,여성비율
산청한방약초축제,70세 이상,6.0,5.7
산청한방약초축제,60~69세,13.8,12.7
산청한방약초축제,50~59세,12.8,14.0
산청한방약초축제,40~49세,7.2,6.3
산청한방약초축제,30~39세,5.6,4.6
산청한방약초축제,20~29세,3.7,3.4
산청한방약초축제,10~19세,1.7,1.7
산청한방약초축제,0~9세,0.4,0.4
