축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
산청한방약초축제,2023,5,18100.0,53122.0,197.0,71419.0,14283.8,,,N/A,71419.0,25.34,74.38,0.28,0.0
산청한방약초축제,2024,10,44056.0,85078.0,202.0,129336.0,12933.6,14283.8,-9.5,71419,57917.0,34.06,65.78,0.16,81.09
