축제명,연령대,남성비율,여성비율
담양대나무축제,70세 이상,3.9,3.9
담양대나무축제,60~69세,9.8,8.6
담양대나무축제,50~59세,11.2,11.7
담양대나무축제,40~49세,8.3,8.1
담양대나무축제,30~39세,6.8,7.4
담양대나무축제,20~29세,6.1,6.1
담양대나무축제,10~19세,3.5,3.3
담양대나무축제,0~9세,0.6,0.8
