축제명,연령대,남성비율,여성비율
세종축제,70세 이상,1.6,1.6
세종축제,60~69세,5.0,4.9
세종축제,50~59세,8.2,7.4
세종축제,40~49세,11.8,10.5
세종축제,30~39세,11.7,11.9
세종축제,20~29세,6.6,8.3
세종축제,10~19세,4.2,4.6
세종축제,0~9세,0.8,1.0
