축제명,연령대,남성비율,여성비율
광주김치축제,70세 이상,3.1,2.7
광주김치축제,60~69세,8.5,6.0
광주김치축제,50~59세,10.0,9.4
광주김치축제,40~49세,7.9,6.6
광주김치축제,30~39세,10.5,8.3
광주김치축제,20~29세,10.5,10.5
광주김치축제,10~19세,2.6,2.7
광주김치축제,0~9세,0.3,0.4
