축제명,연령대,남성비율,여성비율
횡성한우축제,70세 이상,4.5,4.3
횡성한우축제,60~69세,12.4,9.8
횡성한우축제,50~59세,10.9,11.2
횡성한우축제,40~49세,8.4,7.1
횡성한우축제,30~39세,6.4,6.1
횡성한우축제,20~29세,5.3,5.0
횡성한우축제,10~19세,3.7,3.4
횡성한우축제,0~9세,0.8,0.7
