축제명,연령대,남성비율,여성비율
서산해미읍성축제,70세 이상,5.1,4.6
서산해미읍성축제,60~69세,10.6,8.8
서산해미읍성축제,50~59세,10.3,9.1
서산해미읍성축제,40~49세,8.4,6.5
서산해미읍성축제,30~39세,7.5,6.9
서산해미읍성축제,20~29세,8.1,5.5
서산해미읍성축제,10~19세,3.7,3.5
서산해미읍성축제,0~9세,0.8,0.8
