축제명,연령대,남성비율,여성비율
강경젓갈축제,70세 이상,6.2,5.6
강경젓갈축제,60~69세,14.2,12.9
강경젓갈축제,50~59세,11.7,11.7
강경젓갈축제,40~49세,7.6,7.0
강경젓갈축제,30~39세,4.8,4.8
강경젓갈축제,20~29세,3.9,4.3
강경젓갈축제,10~19세,2.3,2.3
강경젓갈축제,0~9세,0.4,0.4
